id,name
0,Playing congas
1,Surfing
2,Using parallel bars
3,Using the balance beam
4,Playing drums
5,Riding bumper cars
6,Calf roping
7,Throwing darts
8,Capoeira
9,Canoeing
10,Drum corps
11,Snow tubing
12,Playing guitarra
13,Clean and jerk
14,Cutting the grass
15,Kayaking
16,Kneeling
17,Playing violin
18,Futsal
19,Skiing
20,BMX
21,Hurling
22,Slacklining
23,Arm wrestling
24,Mixing drinks
25,Scuba diving
26,Playing ten pins
27,Hitting a pinata
28,Welding
29,Preparing pasta
30,Making a lemonade
31,Curling
32,River tubing
33,Playing rubik cube
34,Elliptical trainer
35,Preparing salad
36,Hopscotch
37,Trimming branches or hedges
38,Tug of war
39,Mooping floor
40,Blowing leaves
41,Longboarding
42,Fixing the roof
43,Chopping wood
44,Waterskiing
45,Painting fence
46,Table soccer
47,Swimming
48,Getting a haircut
49,Playing water polo
50,Playing bagpipes
51,Shuffleboard
52,Tango
53,Snowboarding
54,Springboard diving
55,Fixing bicycle
56,Rafting
57,Starting a campfire
58,Windsurfing
59,Spinning
60,Discus throw
61,Removing ice from car
62,Playing saxophone
63,Mowing the lawn
64,Rope skipping
65,Sharpening knives
66,Making a cake
67,Using the monkey bar
68,Having an ice cream
69,Plastering
70,Playing harmonica
71,Playing field hockey
72,Washing hands
73,Fun sliding down
74,Washing face
75,Rollerblading
76,Baking cookies
77,Archery
78,High jump
79,Using the rowing machine
80,Washing dishes
81,Cheerleading
82,Walking the dog
83,Wrapping presents
84,Horseback riding
85,Hammer throw
86,Plataform diving
87,Powerbocking
88,Hand car wash
89,Using the pommel horse
90,Painting
91,Playing pool
92,Running a marathon
93,Playing polo
94,Swinging at the playground
95,Triple jump
96,Playing blackjack
97,Hula hoop
98,Clipping cat claws
99,Playing squash
100,Beer pong
101,Disc dog
102,Playing accordion
103,Camel ride
104,Waxing skis
105,Baton twirling
106,Playing flauta
107,Putting on makeup
108,Layup drill in basketball
109,Doing kickboxing
110,Doing crunches
111,Shoveling snow
112,Sailing
113,Grooming dog
114,Breakdancing
115,Changing car wheel
116,Doing nails
117,Croquet
118,Dodgeball
119,Making a sandwich
120,Braiding hair
121,Tennis serve with ball bouncing
122,Hanging wallpaper
123,Drinking coffee
124,Beach soccer
125,Wakeboarding
126,Grooming horse
127,Doing motocross
128,Long jump
129,Playing piano
130,Cleaning windows
131,Playing kickball
132,Shot put
133,Brushing hair
134,Using uneven bars
135,Paintball
136,Shaving legs
137,Sumo
138,Playing badminton
139,Assembling bicycle
140,Building sandcastles
141,Hand washing clothes
142,Getting a tattoo
143,Playing lacrosse
144,Installing carpet
145,Doing step aerobics
146,Polishing shoes
147,Ping-pong
148,Skateboarding
149,Putting in contact lenses
150,Bungee jumping
151,Tai chi
152,Vacuuming floor
153,Gargling mouthwash
154,Getting a piercing
155,Snatch
156,Cleaning sink
157,Doing fencing
158,Playing racquetball
159,Roof shingle removal
160,Rock-paper-scissors
161,Playing ice hockey
162,Volleyball
163,Rock climbing
164,Laying tile
165,Pole vault
166,Ballet
167,Applying sunscreen
168,Cleaning shoes
169,Doing karate
170,Belly dance
171,Javelin throw
172,Polishing forniture
173,Brushing teeth
174,Peeling potatoes
175,Kite flying
176,Blow-drying hair
177,Ice fishing
178,Knitting
179,Cricket
180,Carving jack-o-lanterns
181,Raking leaves
182,Shaving
183,Spread mulch
184,Zumba
185,Ironing clothes
186,Making an omelette
187,Cumbia
188,Playing beach volleyball
189,Putting on shoes
190,Tumbling
191,Removing curlers
192,Smoking hookah
193,Doing a powerbomb
194,Decorating the Christmas tree
195,Painting furniture
196,Bathing dog
197,Smoking a cigarette
198,Drinking beer
199,Bullfighting
